Part;Value;Device;Package;Description;BUILT_BY;DNAME;FARNELL_SKU;HOUSEPART;MANUFACTURER_PART_NUMBER;MF;MPN;OC_FARNELL;OC_NEWARK;POPULARITY;POPULATE;REVISION;REVNUM;SOURCELIBRARY;SPICEPREFIX;URL;VALUE;VENDOR
C1;1u/50V;C-EUC1210K;C1210K;CAPACITOR, European symbol;;;;;;;;;;0;;;;;C;;;
C2;100n/25V;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;88;;;;;C;;;
C5;100n/25V;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;88;;;;;C;;;
C7;4u7/50V;CPOL-EUD/7343-31W;D/7343-31W;POLARIZED CAPACITOR, European symbol;;;;;;;;;;1;;;;;C;;;
C8;100n/25V;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;88;;;;;C;;;
C9;100n/25V;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;88;;;;;C;;;
C10;100n/25V;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;88;;;;;C;;;
C11;;CPOL-EUD/7343-31W;D/7343-31W;POLARIZED CAPACITOR, European symbol;;;;;;;;;;1;;;;;C;;;
C12;;CPOL-EUD/7343-31W;D/7343-31W;POLARIZED CAPACITOR, European symbol;;;;;;;;;;1;;;;;C;;;
C13;100n/25V;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;88;;;;;C;;;
C15;100n/25V;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;88;;;;;C;;;
C19;1000p/2KV;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;;;;;;;13;;;;;C;;;
D1;;DIODE-SMB;SMB;DIODE;;;;;;;;;;11;;;;;;;;
FRAME1;MF_FRAMEDEFAULT;MF_FRAMEDEFAULT;MF_FRAME_DEFAULT;Library:  MF_Aesthetics;;Elias RÃ¼mmler;;0;;;;;;;0;;REV: 1.01;;;;;
IC1;WeMos D1 mini;D1_MINI;D1_MINI;;;;;;;;;;;;;;;;;;WeMos D1 mini;
IC2;MP2016DJ;MP2016;TSOT23-5;MP2016The MP2016 is a low power linear regulator that supplies  power  to  systems  with  high  voltage  batteries.  It  includes  a  wide  4V  to  42V  input  range,  low  dropout  voltage  and  low  quiescent  supply current.;;;;;;;;;;;;;;;;;MP2016DJ;
IC3;DS3502U+;DS3502U+;21-0061L_MXM;;EMA_UL_Team;;;;ds3502u+;;;;;;;2;;Maxim_2009-12-17_1;;;;Maxim Integrated Products
LED1;GN 2,65V/2mA;LEDCHIPLED_0805;CHIPLED_0805;LED;;;2846598;;;;;;;52;;;;;;;;
LED2;GN 2,65V/2mA;LEDCHIPLED_0805;CHIPLED_0805;LED;;;2846598;;;;;;;52;;;;;;;;
LED3;GE 1,85V/2mA;LEDCHIPLED_0805;CHIPLED_0805;LED;;;2846596;;;;;;;52;;;;;;;;
LED4;BL 2,65V/2mA;LEDCHIPLED_0805;CHIPLED_0805;LED;;;2846594;;;;;;;52;;;;;;;;
LED5;RT 1.95V/2mA;LEDCHIPLED_0805;CHIPLED_0805;LED;;;2099241;;;;;;;52;;;;;;;;
PWS1;TEN 8-2411WI;TEN8WI;TEN8;;;;;;;;;;;;;;;;;;;
R1;120R;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R2;N/A;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R3;6K8 0,1%;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R4;3K1 0,1%;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R5;120R;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R6;;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R7;;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R8;10K;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R9;10K;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R10;10K;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R11;1K3;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R12;10K;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R13;10K;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R14;10K;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R21;10K;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R22;1K2;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R23;680R;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R24;330R;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
R25;680R;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;86;;;;;R;;;
SJ1;;MA03-1;MA03-1;PIN HEADER;;;;;;;;unknown;unknown;48;;;;;;;;
X1;SPTAF_1/3_3,5;SPTAF_1/3_3,5;SPTAF_1/3_3,5;Leiterplattenklemme - SPTAF 1/ 3-3,5-IL;;;;;;;;;;;;;;;;;;
X2;SPTAF_1/3_3,5;SPTAF_1/3_3,5;SPTAF_1/3_3,5;Leiterplattenklemme - SPTAF 1/ 3-3,5-IL;;;;;;;;;;;;;;;;;;
X3;SPTAF_1/3_3,5;SPTAF_1/3_3,5;SPTAF_1/3_3,5;Leiterplattenklemme - SPTAF 1/ 3-3,5-IL;;;;;;;;;;;;;;;;;;
X4;SPTAF_1/8_3,5;SPTAF_1/8_3,5;SPTAF_1/8_3,5;Leiterplattenklemme - SPTAF 1/ 8-3,5-IL - 1861991;;;;;;FARNELL;1861991;2580663;71C4133;;;;;;;;;
X5;05-JST-B5B-XH-A;05-JST-B5B-XH-A;B5B-XH;JST CONNECTOR;;;;;;;;;;;;;;;;;;
X6;03-JST-B3B-XH-A;03-JST-B3B-XH-A;B3B-XH;JST CONNECTOR;;;;;;;;;;;;;;;;;;
X7;;MA03-1;MA03-1;PIN HEADER;;;;;;;;unknown;unknown;48;;;;;;;;
X8;;MA03-1;MA03-1;PIN HEADER;;;;;;;;unknown;unknown;48;;;;;;;;
